254790	1	160
254790	3	1
254833	1	160
254833	126	1
254833	317	1
254879	1	160
254879	33	1
254905	1	160
254905	39	1
254906	1	1
254913	1	160
254914	6	160
256674	1	3
257461	1	60
257461	35	3
257461	38	15
257461	69	3
257804	1	1
257804	6	3
257816	1	3
258159	1	3
258312	1	3
258313	1	3
258319	1	3
259464	1	1
259453	1	1
259456	1	1
259457	1	1
259458	1	1
260627	1	60
260627	4	15
260627	108	21
260627	128	15
260627	213	21
260627	575	15
253946	1	5
253952	1	5
254229	6	160
254380	8	800
254380	9	5
254415	1	800
254416	1	262139
254416	40	20
254608	1	20
254608	515	20
254608	656	20
257612	1	3
257613	1	3
260478	1	10
272612	1	0
272617	1	0
272674	1	0
272674	21	1
272761	1	1
251161	1	0
251167	1	10
251252	1	10
251493	1	0
251493	6	10
251499	1	10
251521	1	10
251548	1	0
251548	28	10
254280	1	1
254283	5	800
254283	9	5
254284	43	5
254437	1	3200
254437	4	262139
254437	54	20
254437	65	20
254450	1	20
254458	1	20
256730	1	3
257487	1	60
257487	13	3
257821	1	3
257968	1	60
257968	7	3
257968	11	60
257968	12	3
258129	1	60
258129	17	3
258152	1	60
258155	1	60
258155	14	3
258156	1	3
258157	1	3
258210	1	15
258213	1	60
258213	12	3
258287	1	3
258434	1	3
258432	1	3
258440	1	3
258442	1	3
258443	1	3
258444	1	3
258446	1	3
258448	1	3
258656	1	15
258656	70	3
258690	1	5
259721	1	1
272760	1	0
272760	11	1
272774	1	0
272774	10	1
272771	1	0
272771	4	1
272775	1	1
272775	119	1
272775	125	1
272776	1	1
272776	37	1
272776	48	1
272829	1	4
272828	1	5
272828	50	4
272827	1	0
272827	12	5
256925	1	15
256926	1	15
256926	41	3
260571	1	15
260568	None	1
260572	1	15
260576	1	15
260577	1	15
260570	1	15
260575	1	15
272922	1	0
272922	19	1
272924	1	1
272927	1	1
272927	11	1
272927	64	1
272929	None	1
272930	1	5
272930	17	1
272930	156	0
272930	160	1
272921	1	0
272923	1	1
272925	None	1
272926	1	1
272936	1	5
272935	1	0
272935	5	5
272935	30	0
272935	66	5
273017	1	0
273017	11	5
273063	1	5
273012	1	0
273012	5	0
273013	1	5
273136	1	0
273136	4	5
251163	1	10
251562	1	10
251604	1	0
251604	16	10
251633	5	65537
251635	31	65537
256865	1	3
256866	1	3
256867	1	3
256867	26	1
256867	55	3
256867	56	1
256868	1	1
256868	382	3
256869	1	3
256924	1	60
256924	11	15
257682	1	3
257682	75	1
257751	1	3
258174	1	60
258174	22	3
258174	161	15
258175	1	3
258177	1	3
258211	1	60
258214	1	3
258215	1	3
258282	1	60
272907	1	0
272907	12	1
272908	1	0
272908	5	1
273006	1	0
273006	4	0
273138	1	5
273150	1	0
273150	4	5
273150	40	1
273143	1	1
273145	1	1
273142	None	1
273146	1	5
273158	1	1
273158	17	5
273158	32	1
273276	1	0
253887	43	5
254279	1	160
254279	5	1
254279	9	160
254279	10	1
256842	1	60
256842	6	3
258742	1	15
258749	1	15
258750	1	15
258959	1	60
258959	12	3
272681	1	0
272681	11	4
272682	1	0
272680	1	1
272680	13	5
272728	1	0
272728	58	0
272728	104	1
272729	1	1
272746	1	0
272747	1	0
272748	1	0
272748	9	1
272750	1	1
272762	1	1
272786	1	1
272787	1	1
272782	1	0
272782	48	1
272785	1	1
272784	1	1
272783	1	1
272798	1	2
272798	90	1
272791	1	0
272791	21	1
272809	1	0
272814	1	0
272818	1	4
272807	1	0
272812	1	5
272816	1	4
272811	1	5
272815	1	0
272815	6	4
254282	6	800
254282	9	5
254289	1	5
256935	1	60
256935	2	3
256936	1	3
256941	1	3
257024	1	60
257398	1	3
257399	1	3
257460	1	60
257490	1	3
257529	1	60
257529	4	3
257529	11	60
257529	12	3
257598	1	3
257599	2	3
258335	1	3
258403	1	60
258403	9	3
258403	18	60
258403	19	3
258423	1	3
258425	1	3
258427	1	3
258428	1	3
258703	1	15
258703	262	3
260583	1	60
260583	3	15
254230	1	40
254230	21	1
254232	1	1
256629	1	3
256630	1	3
256672	1	60
256672	7	3
256673	1	3
251522	1	10
251523	1	5
251559	1	0
251559	65	5
251560	1	10
251561	1	10
251612	1	0
251612	11	10
251636	1	65537
251640	1	5
254293	1	5
254294	1	5
254308	1	5
254310	1	5
254362	1	5
257027	1	3
257397	1	3
257400	1	3
257824	1	3
258310	1	15
272023	1	0
251121	1	65537
253947	1	5
253948	1	5
253950	1	5
253954	1	160
253954	6	1
254226	18	1
254290	1	5
254292	1	5
254306	1	800
254306	7	5
254306	10	800
254306	11	5
254307	1	5
257805	1	3
259636	1	60
259636	2	15
259636	6	60
259636	7	15
259636	51	3
259637	1	60
259637	4	3
259686	1	3
259683	1	15
259685	1	15
259685	400	3
259682	1	15
259681	1	60
259681	5	15
260533	1	3
260534	1	3
260538	1	3
260532	1	15
260532	686	3
260510	1	262139
260510	19	60
260528	1	60
260540	1	3
260536	1	3
260507	1	262139
260541	1	3
260527	1	60
260593	1	60
260593	3	15
260593	7	60
260593	8	15
260727	1	60
260722	None	1
260723	None	1
251637	1	65537
251638	1	0
251638	6	10
251638	8	0
251638	9	10
251643	1	10
251721	1	10
251721	3	10
251721	90	10
251721	98	10
251864	1	5
251864	20	5
252126	5	10
252126	6	10
252126	31	46
253886	8	200
253886	11	5
253888	76	5
253890	104	5
253890	161	5
253890	204	5
253890	240	5
253890	253	5
253943	1	800
254368	1	5
254453	1	20
254530	1	3200
254530	4	20
254530	6	3200
254530	7	20
254532	1	20
254852	1	160
254852	55	1
259626	1	60
259626	98	1
259811	1	3
259820	1	3
259820	16	15
259820	18	3
259820	19	15
259820	87	3
259818	1	3
259821	1	3
259810	1	15
259810	112	3
259810	227	5
259812	1	3
259813	1	3
259809	1	15
259817	1	3
259822	1	3
259822	75	15
259822	232	3
259822	233	15
251164	7	10
251251	1	10
251251	2	10
253944	1	800
253944	10	5
254231	1	1
254607	1	3200
254607	6	20
256734	1	3
256843	1	3
257645	1	3
257825	1	3
258125	1	60
258692	1	15
258694	1	15
258705	1	3
258706	1	3
258712	1	3
258713	1	3
258714	1	3
258741	1	15
259884	1	60
259884	11	3
259884	41	15
259884	82	3
259884	115	15
259891	1	3
259890	1	15
259890	23	3
251781	1	10
251781	16	10
252102	1	10
252102	3	46
252116	1	46
252116	34	138
252116	43	524278
252116	91	46
