,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,378985,1,1,210.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/7.00
1,378993,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
2,378993,4,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
3,379006,1,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
4,379011,1,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
5,379012,1,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
6,379028,1,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
7,379031,1,9,930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/31.00
8,379058,1,16,6990.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/233.00
9,379075,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
10,379075,5,16,6990.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/233.00
11,379154,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
12,379154,15,16,6990.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/233.00
13,379238,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
14,379243,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
15,379252,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
16,379253,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
17,379338,1,22,43410.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/1447.00
18,379355,1,29,92010.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/3067.00
19,379416,1,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
20,379416,6,6,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
21,379416,154,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
22,379420,1,7,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
23,379420,2,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
24,379425,1,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
25,379433,1,7,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
26,379433,5,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
27,379442,1,7,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
28,379442,9,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
29,379454,1,7,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
30,379454,2,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
31,379456,1,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
32,379470,1,7,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
33,379470,8,4,269970.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/8999.00
34,379530,1,4,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
35,379530,451,6,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
36,379530,483,4,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
37,379530,610,6,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
38,379530,622,4,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
39,379613,1,4,398730.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/13291.00
40,379617,1,4,398730.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/13291.00
41,379618,1,4,398730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13291.00
42,379660,1,7,399930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13331.00
43,379660,10,4,399930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13331.00
44,379660,639,9,399930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13331.00
45,379661,1,9,399930.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/13331.00
46,379729,1,7,443130.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14771.00
47,379729,689,9,443130.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14771.00
48,379765,1,7,443130.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14771.00
49,379765,829,9,443130.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14771.00
50,379774,1,7,443130.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14771.00
51,379866,1,9,270330.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/9011.00
52,379866,156,6,270330.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/9011.00
53,379866,187,9,270330.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/9011.00
54,379984,1,7,316770.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/10559.00
55,379984,20,9,316770.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/10559.00
56,379984,135,10,316770.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/10559.00
57,379984,456,9,316770.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/10559.00
58,380001,1,7,437730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14591.00
59,380001,4,9,437730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14591.00
60,380005,1,7,437730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14591.00
61,380005,4,9,437730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14591.00
62,380007,1,9,437730.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/14591.00
63,380029,1,7,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
64,380030,1,7,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
65,380030,17,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
66,380030,99,6,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
67,380030,127,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
68,380032,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
69,380033,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
70,380043,1,7,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
71,380043,3,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
72,380049,1,7,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
73,380049,7,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
74,380051,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
75,380052,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
76,380053,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
77,380056,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
78,380066,1,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
79,380074,1,7,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
80,380074,9,9,494430.0,HLT_PFJet40_v28/30,ONE,L1_ZeroBias/16481.00
